Party,Handicapped-infants,Water-project-cost-sharing,Adoption-of-the-budget-resolution,Physician-fee-freeze,El-salvador-aid,Religious-groups-in-schools,Anti-satellite-test-ban,Aid-to-nicaraguan-contras,MX-missile,Immigration,Synfuels-corporation-cutback,Education-spending,Superfund-right-to-sue,Crime,Duty-free-exports,Export-administration-act-south-africa
REP,,y,n,y,y,y,n,n,n,y,?,y,y,,n,y
Republican,,y,n,y,y,y,n,n,n,n,n,y,y,,n,?
DEM,,y,y,?,y,y,n,n,n,n,y,n,y,,n,n
DEM,,y,y,n,?,y,n,n,n,n,y,n,y,,n,y
,,,,,,,,,,,,,,,,
demo,,y,y,n,y,y,n,n,n,n,n,n,y,,y,y
DEM,,y,n,y,y,y,n,n,n,n,n,n,?,,y,y
repub,,y,n,y,y,y,n,n,n,n,n,n,y,,?,y
REP,,y,n,y,y,y,n,n,n,n,n,y,y,,n,y
Democrat,,y,y,n,n,n,y,y,y,n,n,n,n,,?,?
REP,,y,n,y,y,n,n,n,n,n,?,?,y,,n,n
Republican,,y,n,y,y,y,n,n,n,n,y,?,y,,?,?
demo,,y,y,n,n,n,y,y,y,n,n,n,y,,?,?
Democrat,-999.0,y,y,n,n,y,y,y,?,y,y,?,n,,y,?
REP,,y,n,y,y,y,n,n,n,n,n,y,?,,n,?
repub,,y,n,y,y,y,n,n,n,y,n,y,y,,n,?
Democrat,,n,y,n,n,y,n,y,?,y,y,y,?,,n,y
DEM,,?,y,n,n,n,y,y,y,n,n,n,y,,y,y
REP,-999.0,y,n,y,y,y,n,n,n,n,n,?,y,,n,n
DEM,,y,y,n,n,n,y,y,y,n,y,n,n,,y,y
Democrat,,y,y,n,n,?,y,y,n,n,y,n,n,,y,y
DEM,,y,y,n,n,n,y,y,y,n,n,n,?,,y,y
DEM,,?,y,n,n,n,y,y,y,n,n,?,n,,y,y
DEM,,y,y,n,n,n,y,y,y,n,n,n,n,,y,y
Democrat,,n,y,n,n,n,y,y,y,n,n,n,n,,y,?
demo,,n,y,n,n,n,y,y,y,y,n,n,n,,y,y
Democrat,,n,y,n,n,n,y,y,y,n,y,n,n,,y,y
DEM,-999.0,y,y,n,n,n,y,y,y,n,y,n,n,,y,y
REP,,n,n,y,y,n,y,y,y,n,n,y,y,,n,y
demo,,y,y,n,n,n,y,y,y,n,y,n,n,,y,y
Republican,,y,n,y,y,y,n,n,n,n,n,y,y,,n,n
Democrat,,y,y,n,n,n,y,y,y,n,y,n,n,,y,?
demo,,y,y,n,n,n,y,y,y,y,n,n,y,,y,y
REP,,y,n,y,y,y,n,n,n,n,n,y,y,,n,y
Democrat,,y,y,n,n,n,y,y,y,n,n,n,n,,y,y
repub,,y,n,y,y,y,n,n,n,n,n,y,y,,n,n
REP,,?,n,y,y,y,n,n,n,y,n,y,?,,n,y
,,,,,,,,,,,,,,,,
Republican,,y,n,y,y,y,n,n,n,y,n,y,y,,n,n
DEM,,n,y,n,n,n,y,y,y,y,y,n,y,,y,y
DEM,-999.0,y,y,n,n,n,y,y,y,n,?,n,n,,n,?
Democrat,,y,y,n,n,n,y,y,y,n,n,n,n,,y,?
DEM,,n,y,n,n,n,y,y,y,n,n,n,n,,n,y
Democrat,,n,y,n,n,n,y,y,y,n,n,n,n,,y,y
demo,,y,y,n,n,n,y,y,y,n,y,n,n,,n,?
DEM,,y,y,n,n,n,y,y,?,n,y,n,n,,y,?
Democrat,,y,y,n,n,n,y,y,y,n,n,n,n,,n,y
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Republican,,?,n,y,y,y,n,n,n,n,n,y,y,,n,n
,,,,,,,,,,,,,,,,
Republican,,y,n,y,y,y,n,?,n,n,n,y,y,,n,y
demo,,y,y,n,n,n,y,y,y,n,n,n,n,,?,?
REP,,y,n,y,y,y,n,n,n,y,n,y,y,,n,n
